firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Camilo Jos_,Cela,Spain,ESP,male,1989,literature,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"""
Juan RamÑn,Jim_nez,Spain,ESP,male,1956,literature,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"""
Jacinto,Benavente,Spain,ESP,male,1922,literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"""
Severo,Ochoa,Spain,ESP,male,1959,medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
Jos_,Echegaray y Eizaguirre,Spain,ESP,male,1904,literature,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"""
Santiago,RamÑn y Cajal,Spain,ESP,male,1906,medicine,"""in recognition of their work on the structure of the nervous system"""
Frans Eemil,Sillanp__,Russian Empire (now Finland),FIN,male,1939,literature,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature"""
Artturi Ilmari,Virtanen,Russian Empire (now Finland),FIN,male,1945,chemistry,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"""
Ragnar,Granit,Russian Empire (now Finland),FIN,male,1967,medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
Françoise,Barr_-Sinoussi,France,FRA,female,2008,medicine,"""for their discovery of human immunodeficiency virus"""
Irène,Joliot-Curie,France,FRA,female,1935,chemistry,"""in recognition of their synthesis of new radioactive elements"""
Romain,Rolland,France,FRA,male,1915,literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings"""
Jean-Marie Gustave,Le Cl_zio,France,FRA,male,2008,literature,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"""
Pierre-Gilles,de Gennes,France,FRA,male,1991,physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"""
Louis Eugène F_lix,N_el,France,FRA,male,1970,physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"""
Gerard,Debreu,France,FRA,male,1983,economics,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"""
Jean,Tirole,France,FRA,male,2014,economics,"""for his analysis of market power and regulation"""
Andr_ Paul Guillaume,Gide,France,FRA,male,1947,literature,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"""
Hans Albrecht,Bethe,Germany (now France),FRA,male,1967,physics,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"""
Luis F.,Leloir,France,FRA,male,1970,chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"""
Prince Louis-Victor Pierre Raymond,de Broglie,France,FRA,male,1929,physics,"""for his discovery of the wave nature of electrons"""
Paul,Sabatier,France,FRA,male,1912,chemistry,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"""
Maurice,Allais,France,FRA,male,1988,economics,"""for his pioneering contributions to the theory of markets and efficient utilization of resources"""
Jean Baptiste,Perrin,France,FRA,male,1926,physics,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"""
Charles Jules Henri,Nicolle,France,FRA,male,1928,medicine,"""for his work on typhus"""
Jean-Paul,Sartre,France,FRA,male,1964,literature,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"""
Patrick,Modiano,France,FRA,male,2014,literature,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation"""""""
Roger,Martin du Gard,France,FRA,male,1937,literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>"""
François,Mauriac,France,FRA,male,1952,literature,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life"""
Jean-Pierre,Sauvage,France,FRA,male,2016,chemistry,"""for the design and synthesis of molecular machines"""
Alfred,Kastler,Germany (now France),FRA,male,1966,physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms"""
Albert,Fert,France,FRA,male,2007,physics,"""for the discovery of Giant Magnetoresistance"""
Albert,Fert,France,FRA,male,2007,physics,"""for the discovery of Giant Magnetoresistance"""
Victor,Grignard,France,FRA,male,1912,chemistry,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"""
Jean-Marie,Lehn,France,FRA,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Jean-Marie,Lehn,France,FRA,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Andr_,Lwoff,France,FRA,male,1965,medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
Jacques,Monod,France,FRA,male,1965,medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
François,Jacob,France,FRA,male,1965,medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
Jean,Dausset,France,FRA,male,1980,medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
Andr_ Fr_d_ric,Cournand,France,FRA,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
Roger,Guillemin,France,FRA,male,1977,medicine,"""for their discoveries concerning the peptide hormone production of the brain"""
Luc,Montagnier,France,FRA,male,2008,medicine,"""for their discovery of human immunodeficiency virus"""
Anatole,France,France,FRA,male,1921,literature,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"""
Henri,Bergson,France,FRA,male,1927,literature,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented"""
Charles Robert,Richet,France,FRA,male,1913,medicine,"""in recognition of his work on anaphylaxis"""
Alfred,Werner,France,FRA,male,1913,chemistry,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"""
Charles Louis Alphonse,Laveran,France,FRA,male,1907,medicine,"""in recognition of his work on the role played by protozoa in causing diseases"""
Alexis,Carrel,France,FRA,male,1912,medicine,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs"""
Antoine Henri,Becquerel,France,FRA,male,1903,physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"""
Pierre,Curie,France,FRA,male,1903,physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
Fr_d_ric,Mistral,France,FRA,male,1904,literature,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil"
Henri,Moissan,France,FRA,male,1906,chemistry,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"""
Fr_d_ric,Joliot,France,FRA,male,1935,chemistry,"""in recognition of their synthesis of new radioactive elements"""
Sully,Prudhomme,France,FRA,male,1901,literature,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"""
Louis,Renault,France,FRA,male,1907,peace,
Seàn,MacBride,France,FRA,male,1974,peace,
Fr_d_ric,Passy,France,FRA,male,1901,peace,
Ferdinand,Buisson,France,FRA,male,1927,peace,
L_on Victor Auguste,Bourgeois,France,FRA,male,1920,peace,
Paul Henri Benjamin Balluet,"d'Estournelles de Constant, Baron de Constant de Rebecque",France,FRA,male,1909,peace,
Aristide,Briand,France,FRA,male,1926,peace,
Albert,Schweitzer,Germany (now France),FRA,male,1952,peace,
L_on,Jouhaux,France,FRA,male,1951,peace,
Ren_,Cassin,France,FRA,male,1968,peace,
Betty,Williams,Northern Ireland,GBR,female,1976,peace,
Mairead,Corrigan,Northern Ireland,GBR,female,1976,peace,
Patrick,White,United Kingdom,GBR,male,1973,literature,"""for an epic and psychological narrative art which has introduced a new continent into literature"""
Richard,Stone,United Kingdom,GBR,male,1984,economics,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis"""
Angus,Deaton,United Kingdom,GBR,male,2015,economics,"""for his analysis of consumption, poverty, and welfare"""
Peter D.,Mitchell,United Kingdom,GBR,male,1978,chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory"""
Frederick,Soddy,United Kingdom,GBR,male,1921,chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"""
John A.,Pople,United Kingdom,GBR,male,1998,chemistry,"""for his development of computational methods in quantum chemistry"""
Cecil Frank,Powell,United Kingdom,GBR,male,1950,physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method"""
Patrick Maynard Stuart,Blackett,United Kingdom,GBR,male,1948,physics,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"""
Ronald H.,Coase,United Kingdom,GBR,male,1991,economics,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy"""
Charles Glover,Barkla,United Kingdom,GBR,male,1917,physics,"""for his discovery of the characteristic R&ouml"
Sir Frederick Gowland,Hopkins,United Kingdom,GBR,male,1929,medicine,"""for his discovery of the growth-stimulating vitamins"""
Archibald Vivian,Hill,United Kingdom,GBR,male,1922,medicine,"""for his discovery relating to the production of heat in the muscle"""
Francis William,Aston,United Kingdom,GBR,male,1922,chemistry,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"""
John,Galsworthy,United Kingdom,GBR,male,1932,literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>"""
Michael,Smith,United Kingdom,GBR,male,1993,chemistry,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"""
Lord Rayleigh,(John William Strutt),United Kingdom,GBR,male,1904,physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies"""
Sir Edward Victor,Appleton,United Kingdom,GBR,male,1947,physics,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer"""
Walter Norman,Haworth,United Kingdom,GBR,male,1937,chemistry,"""for his investigations on carbohydrates and vitamin C"""
Sir Robert,Robinson,United Kingdom,GBR,male,1947,chemistry,"""for his investigations on plant products of biological importance, especially the alkaloids"""
Sir Winston Leonard Spencer,Churchill,United Kingdom,GBR,male,1953,literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"""
Charles Thomson Rees,Wilson,Scotland,GBR,male,1927,physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour"""
William,Golding,United Kingdom,GBR,male,1983,literature,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"""
Brian David,Josephson,United Kingdom,GBR,male,1973,physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"""
Lord (Alexander R.),Todd,Scotland,GBR,male,1957,chemistry,"""for his work on nucleotides and nucleotide co-enzymes"""
Frederick,Sanger,United Kingdom,GBR,male,1958,chemistry,"""for his work on the structure of proteins, especially that of insulin"""
Owen Willans,Richardson,United Kingdom,GBR,male,1928,physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"""
Clive W.J.,Granger,United Kingdom,GBR,male,2003,economics,"""for methods of analyzing economic time series with common trends (cointegration)"""
Anthony J.,Leggett,United Kingdom,GBR,male,2003,physics,"""for pioneering contributions to the theory of superconductors and superfluids"""
Sir J. Fraser,Stoddart,United Kingdom,GBR,male,2016,chemistry,"""for the design and synthesis of molecular machines"""
Godfrey N.,Hounsfield,United Kingdom,GBR,male,1979,medicine,"""for the development of computer assisted tomography"""
Robert G.,Edwards,United Kingdom,GBR,male,2010,medicine,"""for the development of in vitro fertilization"""
Jack W.,Szostak,United Kingdom,GBR,male,2009,medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Jack W.,Szostak,United Kingdom,GBR,male,2009,medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Jack W.,Szostak,United Kingdom,GBR,male,2009,medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
John James Rickard,Macleod,Scotland,GBR,male,1923,medicine,"""for the discovery of insulin"""
Paul Adrien Maurice,Dirac,United Kingdom,GBR,male,1933,physics,"""for the discovery of new productive forms of atomic theory"""
Sir Alexander,Fleming,Scotland,GBR,male,1945,medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
James,Chadwick,United Kingdom,GBR,male,1935,physics,"""for the discovery of the neutron"""
Sir John B.,Gurdon,United Kingdom,GBR,male,2012,medicine,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
Peter W.,Higgs,United Kingdom,GBR,male,2013,physics,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
Frederick,Sanger,United Kingdom,GBR,male,1980,chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids"""
Derek H. R.,Barton,United Kingdom,GBR,male,1969,chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry"""
Herbert C.,Brown,United Kingdom,GBR,male,1979,chemistry,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
John E.,Sulston,United Kingdom,GBR,male,2002,medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
Sir Peter,Mansfield,United Kingdom,GBR,male,2003,medicine,"""for their discoveries concerning magnetic resonance imaging"""
John R.,Vane,United Kingdom,GBR,male,1982,medicine,"""for their discoveries concerning prostaglandins and related biologically active substances"""
Rodney R.,Porter,United Kingdom,GBR,male,1972,medicine,"""for their discoveries concerning the chemical structure of antibodies"""
Alan Lloyd,Hodgkin,United Kingdom,GBR,male,1963,medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
Andrew Fielding,Huxley,United Kingdom,GBR,male,1963,medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
Francis Harry Compton,Crick,United Kingdom,GBR,male,1962,medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
Christian,de Duve,United Kingdom,GBR,male,1974,medicine,"""for their discoveries concerning the structural and functional organization of the cell"""
Christian,de Duve,United Kingdom,GBR,male,1974,medicine,"""for their discoveries concerning the structural and functional organization of the cell"""
Sir James W.,Black,Scotland,GBR,male,1988,medicine,"""for their discoveries of important principles for drug treatment"""
Tim,Hunt,United Kingdom,GBR,male,2001,medicine,"""for their discoveries of key regulators of the cell cycle"""
Sir Paul M.,Nurse,United Kingdom,GBR,male,2001,medicine,"""for their discoveries of key regulators of the cell cycle"""
Sir Martin J.,Evans,United Kingdom,GBR,male,2007,medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Oliver,Smithies,United Kingdom,GBR,male,2007,medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Richard J.,Roberts,United Kingdom,GBR,male,1993,medicine,"""for their discoveries of split genes"""
Edgar Douglas,Adrian,United Kingdom,GBR,male,1932,medicine,"""for their discoveries regarding the functions of neurons"""
Sir Charles Scott,Sherrington,United Kingdom,GBR,male,1932,medicine,"""for their discoveries regarding the functions of neurons"""
Sir Henry Hallett,Dale,United Kingdom,GBR,male,1936,medicine,"""for their discoveries relating to chemical transmission of nerve impulses"""
Sir Harold W.,Kroto,United Kingdom,GBR,male,1996,chemistry,"""for their discovery of fullerenes"""
John,Hume,Northern Ireland,GBR,male,1998,peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland"""
David,Trimble,Northern Ireland,GBR,male,1998,peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland"""
John E.,Walker,United Kingdom,GBR,male,1997,chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
George Paget,Thomson,United Kingdom,GBR,male,1937,physics,"""for their experimental discovery of the diffraction of electrons by crystals"""
James A.,Mirrlees,Scotland,GBR,male,1996,economics,"""for their fundamental contributions to the economic theory of incentives under asymmetric information"""
Sir Nevill Francis,Mott,United Kingdom,GBR,male,1977,physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
Richard Laurence Millington,Synge,United Kingdom,GBR,male,1952,chemistry,"""for their invention of partition chromatography"""
Archer John Porter,Martin,United Kingdom,GBR,male,1952,chemistry,"""for their invention of partition chromatography"""
Arthur,Harden,United Kingdom,GBR,male,1929,chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
James E.,Meade,United Kingdom,GBR,male,1977,economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements"""
Sir John Douglas,Cockcroft,United Kingdom,GBR,male,1951,physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"""
John R.,Hicks,United Kingdom,GBR,male,1972,economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory"""
Sir Martin,Ryle,United Kingdom,GBR,male,1974,physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"""
Antony,Hewish,United Kingdom,GBR,male,1974,physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"""
Geoffrey,Wilkinson,United Kingdom,GBR,male,1973,chemistry,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"""
Sir Cyril Norman,Hinshelwood,United Kingdom,GBR,male,1956,chemistry,"""for their researches into the mechanism of chemical reactions"""
William Bradford,Shockley,United Kingdom,GBR,male,1956,physics,"""for their researches on semiconductors and their discovery of the transistor effect"""
Sir William Henry,Bragg,United Kingdom,GBR,male,1915,physics,"""for their services in the analysis of crystal structure by means of X-rays"""
Ronald George Wreyford,Norrish,United Kingdom,GBR,male,1967,chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
George,Porter,United Kingdom,GBR,male,1967,chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
John Cowdery,Kendrew,United Kingdom,GBR,male,1962,chemistry,"""for their studies of the structures of globular proteins"""
F. Duncan M.,Haldane,United Kingdom,GBR,male,2016,physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
J. Michael,Kosterlitz,United Kingdom,GBR,male,2016,physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
David J.,Thouless,United Kingdom,GBR,male,2016,physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter"""
Niels K.,Jerne,United Kingdom,GBR,male,1984,medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
Seamus,Heaney,Northern Ireland,GBR,male,1995,literature,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"""
Sir William,Ramsay,Scotland,GBR,male,1904,chemistry,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"""
Earl (Bertrand Arthur William),Russell,United Kingdom,GBR,male,1950,literature,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought"""
Joseph John,Thomson,United Kingdom,GBR,male,1906,physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"""
Harold,Pinter,United Kingdom,GBR,male,2005,literature,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms"""
William Randal,Cremer,United Kingdom,GBR,male,1903,peace,
Arthur,Henderson,Scotland,GBR,male,1934,peace,
Sir Austen,Chamberlain,United Kingdom,GBR,male,1925,peace,
"Cecil of Chelwood, Viscount",(Lord Edgar Algernon Robert Gascoyne Cecil),United Kingdom,GBR,male,1937,peace,
Sir Norman,Angell (Ralph Lane),United Kingdom,GBR,male,1933,peace,
Lord (John),Boyd Orr of Brechin,Scotland,GBR,male,1949,peace,
Philip J.,Noel-Baker,United Kingdom,GBR,male,1959,peace,
Kofi,Annan,Gold Coast (now Ghana),GHA,male,2001,peace,"""for their work for a better organized and more peaceful world"""
Saint-John,Perse,Guadeloupe Island,GLP,male,1960,literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"""
Odysseus,Elytis,Crete (now Greece),GRC,male,1979,literature,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"""
Rigoberta,MenchÏ Tum,Guatemala,GTM,female,1992,peace,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples"""
Miguel Angel,Asturias,Guatemala,GTM,male,1967,literature,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"""
Leopold,Ruzicka,Austria-Hungary (now Croatia),HRV,male,1939,chemistry,"""for his work on polymethylenes and higher terpenes"""
George A.,Olah,Hungary,HUN,male,1994,chemistry,"""for his contribution to carbocation chemistry"""
Eugene Paul,Wigner,Austria-Hungary (now Hungary),HUN,male,1963,physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"""
Albert,von Szent-Gy_rgyi Nagyràpolt,Austria-Hungary (now Hungary),HUN,male,1937,medicine,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"""
Georg,von B_k_sy,Hungary,HUN,male,1961,medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea"""
Dennis,Gabor,Hungary,HUN,male,1971,physics,"""for his invention and development of the holographic method"""
George,de Hevesy,Austria-Hungary (now Hungary),HUN,male,1943,chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes"""
Avram,Hershko,Hungary,HUN,male,2004,chemistry,"""for the discovery of ubiquitin-mediated protein degradation"""
John C.,Harsanyi,Hungary,HUN,male,1994,economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games"""
Imre,Kert_sz,Hungary,HUN,male,2002,literature,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"""
Willem,Einthoven,"Java, Dutch East Indies (now Indonesia)",IDN,male,1924,medicine,"""for his discovery of the mechanism of the electrocardiogram"""
William Butler,Yeats,Ireland,IRL,male,1923,literature,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"""
George Bernard,Shaw,Ireland,IRL,male,1925,literature,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"""
Samuel,Beckett,Ireland,IRL,male,1969,literature,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"""
William C.,Campbell,Ireland,IRL,male,2015,medicine,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"""
Ernest Thomas Sinton,Walton,Ireland,IRL,male,1951,physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"""
Ada E.,Yonath,British Mandate of Palestine (now Israel),ISR,female,2009,chemistry,"""for studies of the structure and function of the ribosome"""
Daniel,Kahneman,British Mandate of Palestine (now Israel),ISR,male,2002,economics,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"""
Arieh,Warshel,British Mandate of Palestine (now Israel),ISR,male,2013,chemistry,"""for the development of multiscale models for complex chemical systems"""
Dan,Shechtman,British Mandate of Palestine (now Israel),ISR,male,2011,chemistry,"""for the discovery of quasicrystals"""
Aaron,Ciechanover,British Protectorate of Palestine (now Israel),ISR,male,2004,chemistry,"""for the discovery of ubiquitin-mediated protein degradation"""
Yitzhak,Rabin,British Mandate of Palestine (now Israel),ISR,male,1994,peace,"""for their efforts to create peace in the Middle East"""
Rabindranath,Tagore,India,IND,male,1913,literature,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"""
Amartya,Sen,India,IND,male,1998,economics,"""for his contributions to welfare economics"""
Ronald,Ross,India,IND,male,1902,medicine,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
Sir Chandrasekhara Venkata,Raman,India,IND,male,1930,physics,"""for his work on the scattering of light and for the discovery of the effect named after him"""
Venkatraman,Ramakrishnan,India,IND,male,2009,chemistry,"""for studies of the structure and function of the ribosome"""
Har Gobind,Khorana,India,IND,male,1968,medicine,"""for their interpretation of the genetic code and its function in protein synthesis"""
Kailash,Satyarthi,India,IND,male,2014,peace,"""for their struggle against the suppression of children and young people and for the right of all children to education"""
Rudyard,Kipling,British India (now India),IND,male,1907,literature,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"""
Shirin,Ebadi,Iran,IRN,female,2003,peace,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children"""
Doris,Lessing,Persia (now Iran),IRN,female,2007,literature,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"""
HalldÑr Kiljan,Laxness,Iceland,ISL,male,1955,literature,"""for his vivid epic power which has renewed the great narrative art of Iceland"""
Grazia,Deledda,Italy,ITA,female,1926,literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"""
Rita,Levi-Montalcini,Italy,ITA,female,1986,medicine,"""for their discoveries of growth factors"""
Luigi,Pirandello,Italy,ITA,male,1934,literature,"""for his bold and ingenious revival of dramatic and scenic art"""
Enrico,Fermi,Italy,ITA,male,1938,physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"""
Eugenio,Montale,Italy,ITA,male,1975,literature,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions"""
Salvatore,Quasimodo,Italy,ITA,male,1959,literature,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"""
Franco,Modigliani,Italy,ITA,male,1985,economics,"""for his pioneering analyses of saving and of financial markets"""
Riccardo,Giacconi,Italy,ITA,male,2002,physics,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"""
Carlo,Rubbia,Italy,ITA,male,1984,physics,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
Renato,Dulbecco,Italy,ITA,male,1975,medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
Salvador E.,Luria,Italy,ITA,male,1969,medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
Giulio,Natta,Italy,ITA,male,1963,chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers"""
Mario R.,Capecchi,Italy,ITA,male,2007,medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Mario R.,Capecchi,Italy,ITA,male,2007,medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Emilio Gino,Segrè,Italy,ITA,male,1959,physics,"""for their discovery of the antiproton"""
Guglielmo,Marconi,Italy,ITA,male,1909,physics,"""in recognition of their contributions to the development of wireless telegraphy"""
Camillo,Golgi,Italy,ITA,male,1906,medicine,"""in recognition of their work on the structure of the nervous system"""
Giosuè,Carducci,Tuscany (now Italy),ITA,male,1906,literature,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"""
Dario,Fo,Italy,ITA,male,1997,literature,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden"""
