firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Simon,Kuznets,Russian Empire (now Belarus),BLR,male,1971,economics,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development"""
Shimon,Peres,Poland (now Belarus),BLR,male,1994,peace,"""for their efforts to create peace in the Middle East"""
Menachem,Begin,Russian Empire (now Belarus),BLR,male,1978,peace,
Alice,Munro,Canada,CAN,female,2013,literature,"""master of the contemporary short story"""
Myron S.,Scholes,Canada,CAN,male,1997,economics,"""for a new method to determine the value of derivatives"""
Robert A.,Mundell,Canada,CAN,male,1999,economics,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"""
William Francis,Giauque,Canada,CAN,male,1949,chemistry,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"""
Rudolph A.,Marcus,Canada,CAN,male,1992,chemistry,"""for his contributions to the theory of electron transfer reactions in chemical systems"""
Charles Brenton,Huggins,Canada,CAN,male,1966,medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer"""
Ralph M.,Steinman,Canada,CAN,male,2011,medicine,"""for his discovery of the dendritic cell and its role in adaptive immunity"""
Henry,Taube,Canada,CAN,male,1983,chemistry,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes"""
Bertram N.,Brockhouse,Canada,CAN,male,1994,physics,"""for the development of neutron spectroscopy"""
Frederick Grant,Banting,Canada,CAN,male,1923,medicine,"""for the discovery of insulin"""
Arthur B.,McDonald,Canada,CAN,male,2015,physics,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
Saul,Bellow,Canada,CAN,male,1976,literature,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work"""
Willard S.,Boyle,Canada,CAN,male,2009,physics,"""for the invention of an imaging semiconductor circuit - the CCD sensor"""
David H.,Hubel,Canada,CAN,male,1981,medicine,"""for their discoveries concerning information processing in the visual system"""
Sidney,Altman,Canada,CAN,male,1989,chemistry,"""for their discovery of catalytic properties of RNA"""
William,Vickrey,Canada,CAN,male,1996,economics,"""for their fundamental contributions to the economic theory of incentives under asymmetric information"""
Richard E.,Taylor,Canada,CAN,male,1990,physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
Lester Bowles,Pearson,Canada,CAN,male,1957,peace,
Richard R.,Ernst,Switzerland,CHE,male,1991,chemistry,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"""
Kurt,WÙthrich,Switzerland,CHE,male,2002,chemistry,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution"""
Kurt,WÙthrich,Switzerland,CHE,male,2002,chemistry,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution"""
Daniel,Bovet,Switzerland,CHE,male,1957,medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"""
Walter Rudolf,Hess,Switzerland,CHE,male,1949,medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs"""
Paul Hermann,MÙller,Switzerland,CHE,male,1948,medicine,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"""
Emil Theodor,Kocher,Switzerland,CHE,male,1909,medicine,"""for his work on the physiology, pathology and surgery of the thyroid gland"""
Werner,Arber,Switzerland,CHE,male,1978,medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
Heinrich,Rohrer,Switzerland,CHE,male,1986,physics,"""for their design of the scanning tunneling microscope"""
Felix,Bloch,Switzerland,CHE,male,1952,physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
Rolf M.,Zinkernagel,Switzerland,CHE,male,1996,medicine,"""for their discoveries concerning the specificity of the cell mediated immune defence"""
K. Alexander,MÙller,Switzerland,CHE,male,1987,physics,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
Charles Edouard,Guillaume,Switzerland,CHE,male,1920,physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys"""
Carl Friedrich Georg,Spitteler,Switzerland,CHE,male,1919,literature,"""in special appreciation of his epic, <I>Olympian Spring</I>"""
Jean Henry,Dunant,Switzerland,CHE,male,1901,peace,
Älie,Ducommun,Switzerland,CHE,male,1902,peace,
Charles Albert,Gobat,Switzerland,CHE,male,1902,peace,
Gabriela,Mistral,Chile,CHL,female,1945,literature,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"""
Pablo,Neruda,Chile,CHL,male,1971,literature,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams"""
Youyou,Tu,China,CHN,female,2015,medicine,"""for her discoveries concerning a novel therapy against Malaria"""
Gao,Xingjian,China,CHN,male,2000,literature,"""for an &aelig"
Charles Kuen,Kao,China,CHN,male,2009,physics,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
Charles Kuen,Kao,China,CHN,male,2009,physics,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
Liu,Xiaobo,China,CHN,male,2010,peace,"""for his long and non-violent struggle for fundamental human rights in China"""
Ei-ichi,Negishi,China,CHN,male,2010,chemistry,"""for palladium-catalyzed cross couplings in organic synthesis"""
Edmond H.,Fischer,China,CHN,male,1992,medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
Daniel C.,Tsui,China,CHN,male,1998,physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
Tsung-Dao (T.D.),Lee,China,CHN,male,1957,physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
Chen Ning,Yang,China,CHN,male,1957,physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
Walter Houser,Brattain,China,CHN,male,1956,physics,"""for their researches on semiconductors and their discovery of the transistor effect"""
Mo,Yan,China,CHN,male,2012,literature,"""who with hallucinatory realism merges folk tales, history and the contemporary"""
The 14th Dalai Lama (Tenzin Gyatso),,Tibet (now People's Republic of China),CHN,male,1989,peace,
Gabriel,GarcÕa Màrquez,Colombia,COL,male,1982,literature,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"""
Juan Manuel,Santos,Colombia,COL,male,2016,peace,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end"""
Oscar,Arias Sànchez,Costa Rica,CR,male,1987,peace,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year"""
Christopher A.,Pissarides,Cyprus,CRI,male,2010,economics,"""for their analysis of markets with search frictions"""
Gerty Theresa,"Cori, n_e Radnitz",Austria-Hungary (now Czech Republic),CZE,female,1947,medicine,"""for their discovery of the course of the catalytic conversion of glycogen"""
Baroness Bertha Sophie Felicita,"von Suttner, n_e Countess Kinsky von Chinic und Tettau",Austrian Empire (now Czech Republic),CZE,female,1905,peace,
Jaroslav,Heyrovsky,Austria-Hungary (now Czech Republic),CZE,male,1959,chemistry,"""for his discovery and development of the polarographic methods of analysis"""
Jaroslav,Seifert,Austria-Hungary (now Czech Republic),CZE,male,1984,literature,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"""
Peter,GrÙnberg,Czechoslovakia (now Czech Republic),CZE,male,2007,physics,"""for the discovery of Giant Magnetoresistance"""
Carl Ferdinand,Cori,Austria-Hungary (now Czech Republic),CZE,male,1947,medicine,"""for their discovery of the course of the catalytic conversion of glycogen"""
Nelly,Sachs,Germany,DEU,female,1966,literature,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"" "
Christiane,NÙsslein-Volhard,Germany,DEU,female,1995,medicine,"""for their discoveries concerning the genetic control of early embryonic development"""
Paul Johann Ludwig,Heyse,Prussia (now Germany),DEU,male,1910,literature,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"""
Herbert,Kroemer,Germany,DEU,male,2000,physics,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics"""
