firstname,surname,bornCountryCode,gender,year,category,share,motivation
Hermann,Hesse,DE,male,1946,literature,1,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style"""
Georges,Charpak,PL,male,1992,physics,1,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber"""
Georges,Charpak,PL,male,1992,physics,1,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber"""
Dennis,Gabor,HU,male,1971,physics,1,"""for his invention and development of the holographic method"""
Nils Gustaf,Dal_n,SE,male,1912,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys"""
Fritz,Pregl,SI,male,1923,chemistry,1,"""for his invention of the method of micro-analysis of organic substances"""
Kary B.,Mullis,US,male,1993,chemistry,2,"""for his invention of the polymerase chain reaction (PCR) method"""
Robert,Koch,DE,male,1905,medicine,1,"""for his investigations and discoveries in relation to tuberculosis"""
Ernest,Rutherford,NZ,male,1908,chemistry,1,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"""
Heinrich Otto,Wieland,DE,male,1927,chemistry,1,"""for his investigations of the constitution of the bile acids and related substances"""
Lord Rayleigh,(John William Strutt),GB,male,1904,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies"""
Sir Edward Victor,Appleton,GB,male,1947,physics,1,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer"""
Walter Norman,Haworth,GB,male,1937,chemistry,2,"""for his investigations on carbohydrates and vitamin C"""
Paul,Karrer,RU,male,1937,chemistry,2,"""for his investigations on carotenoids, flavins and vitamins A and B2"""
Sir Robert,Robinson,GB,male,1947,chemistry,1,"""for his investigations on plant products of biological importance, especially the alkaloids"""
Heike,Kamerlingh Onnes,NL,male,1913,physics,1,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"""
Mikhail Sergeyevich,Gorbachev,RU,male,1990,peace,1,"""for his leading role in the peace process which today characterizes important parts of the international community"""
Liu,Xiaobo,CN,male,2010,peace,1,"""for his long and non-violent struggle for fundamental human rights in China"""
Juan Ram„n,Jim_nez,ES,male,1956,literature,1,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"""
Salvatore,Quasimodo,IT,male,1959,literature,1,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"""
Sir Winston Leonard Spencer,Churchill,GB,male,1953,literature,1,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"""
Ernest Miller,Hemingway,US,male,1954,literature,1,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style"""
Paul,Sabatier,FR,male,1912,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"""
Charles Thomson Rees,Wilson,GB,male,1927,physics,2,"""for his method of making the paths of electrically charged particles visible by condensation of vapour"""
Gabriel,Lippmann,LU,male,1908,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference"""
Willard Frank,Libby,US,male,1960,chemistry,1,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"""
Knut Pedersen,Hamsun,NO,male,1920,literature,1,"""for his monumental work, <I>Growth of the Soil</I>"""
Yasunari,Kawabata,JP,male,1968,literature,1,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"""
Gabriel,GarcÍa Mˆrquez,CO,male,1982,literature,1,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"""
William,Golding,GB,male,1983,literature,1,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"""
Albert Abraham,Michelson,PL,male,1907,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"""
Robert Burns,Woodward,US,male,1965,chemistry,1,"""for his outstanding achievements in the art of organic synthesis"""
Thomas Stearns,Eliot,US,male,1948,literature,1,"""for his outstanding, pioneer contribution to present-day poetry"""
Jack S.,Kilby,US,male,2000,physics,2,"""for his part in the invention of the integrated circuit"""
Franco,Modigliani,IT,male,1985,economics,1,"""for his pioneering analyses of saving and of financial markets"""
Maurice,Allais,FR,male,1988,economics,1,"""for his pioneering contributions to the theory of markets and efficient utilization of resources"""
Herbert A.,Simon,US,male,1978,economics,1,"""for his pioneering research into the decision-making process within economic organizations"""
Robert,Hofstadter,US,male,1961,physics,2,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
Lev Davidovich,Landau,AZ,male,1962,physics,1,"""for his pioneering theories for condensed matter, especially liquid helium"""
Jaroslav,Seifert,CZ,male,1984,literature,1,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"""
Odysseus,Elytis,GR,male,1979,literature,1,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"""
William,Faulkner,US,male,1949,literature,1,"""for his powerful and artistically unique contribution to the modern American novel"""
Polykarp,Kusch,DE,male,1955,physics,2,"""for his precision determination of the magnetic moment of the electron"""
Hideki,Yukawa,JP,male,1949,physics,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
Hideki,Yukawa,JP,male,1949,physics,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
Shmuel Yosef,Agnon,UA,male,1966,literature,2,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people"""
John,Steinbeck,US,male,1962,literature,1,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"""
Artturi Ilmari,Virtanen,FI,male,1945,chemistry,1,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"""
Linus Carl,Pauling,US,male,1954,chemistry,1,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances"""
Vladimir,Prelog,BA,male,1975,chemistry,2,"""for his research into the stereochemistry of organic molecules and reactions"""
Arne Wilhelm Kaurin,Tiselius,SE,male,1948,chemistry,1,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"""
Melvin,Calvin,US,male,1961,chemistry,1,"""for his research on the carbon dioxide assimilation in plants"""
Rudolf Ludwig,M_ssbauer,DE,male,1961,physics,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
Rudolf Ludwig,M_ssbauer,DE,male,1961,physics,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
Hans,Fischer,DE,male,1930,chemistry,1,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"""
Richard Martin,Willst_tter,DE,male,1915,chemistry,1,"""for his researches on plant pigments, especially chlorophyll"""
Juan Manuel,Santos,CO,male,2016,peace,1,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end"""
Isidor Isaac,Rabi,PL,male,1944,physics,1,"""for his resonance method for recording the magnetic properties of atomic nuclei"""
George J.,Stigler,US,male,1982,economics,1,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"""
Niels Henrik David,Bohr,DK,male,1922,physics,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
Albert,Einstein,DE,male,1921,physics,1,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"""
Gerhard,Ertl,DE,male,2007,chemistry,1,"""for his studies of chemical processes on solid surfaces"""
Roger D.,Kornberg,US,male,2006,chemistry,1,"""for his studies of the molecular basis of eukaryotic transcription"""
Ahmed H.,Zewail,EG,male,1999,chemistry,1,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy"""
William N.,Lipscomb,US,male,1976,chemistry,1,"""for his studies on the structure of boranes illuminating problems of chemical bonding"""
William Alfred,Fowler,US,male,1983,physics,2,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"""
Brian David,Josephson,GB,male,1973,physics,2,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"""
Subramanyan,Chandrasekhar,PK,male,1983,physics,2,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"""
Kenneth G.,Wilson,US,male,1982,physics,1,"""for his theory for critical phenomena in connection with phase transitions"""
Karl Adolph,Gjellerup,DK,male,1917,literature,2,"""for his varied and rich poetry, which is inspired by lofty ideals"""
Sinclair,Lewis,US,male,1930,literature,1,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"""
Halld„r Kiljan,Laxness,IS,male,1955,literature,1,"""for his vivid epic power which has renewed the great narrative art of Iceland"""
Miguel Angel,Asturias,GT,male,1967,literature,1,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"""
Kim,Dae-jung,KR,male,2000,peace,1,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"""
Oscar,Arias Sˆnchez,CR,male,1987,peace,1,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year"""
Vincent,du Vigneaud,US,male,1955,chemistry,1,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"""
Richard,Kuhn,AT,male,1938,chemistry,1,"""for his work on carotenoids and vitamins"""
Richard,Kuhn,AT,male,1938,chemistry,1,"""for his work on carotenoids and vitamins"""
Philipp Eduard Anton,von Lenard,SK,male,1905,physics,1,"""for his work on cathode rays"""
K. Barry,Sharpless,US,male,2001,chemistry,2,"""for his work on chirally catalysed oxidation reactions"""
The (Theodor),Svedberg,SE,male,1926,chemistry,1,"""for his work on disperse systems"""
Ronald,Ross,IN,male,1902,medicine,1,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
Lord (Alexander R.),Todd,GB,male,1957,chemistry,1,"""for his work on nucleotides and nucleotide co-enzymes"""
Leopold,Ruzicka,HR,male,1939,chemistry,2,"""for his work on polymethylenes and higher terpenes"""
Christian B.,Anfinsen,US,male,1972,chemistry,2,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"""
Emil Adolf,von Behring,PL,male,1901,medicine,1,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"""
Adolf Friedrich Johann,Butenandt,DE,male,1939,chemistry,2,"""for his work on sex hormones"""
Adolf Friedrich Johann,Butenandt,DE,male,1939,chemistry,2,"""for his work on sex hormones"""
Allvar,Gullstrand,SE,male,1911,medicine,1,"""for his work on the dioptrics of the eye"""
Jean Baptiste,Perrin,FR,male,1926,physics,1,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"""
Robert Andrews,Millikan,US,male,1923,physics,1,"""for his work on the elementary charge of electricity and on the photoelectric effect"""
Johannes Diderik,van der Waals,NL,male,1910,physics,1,"""for his work on the equation of state for gases and liquids"""
Henry,Taube,CA,male,1983,chemistry,1,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes"""
Robert,Bˆrˆny,AT,male,1914,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus"""
Emil Theodor,Kocher,CH,male,1909,medicine,1,"""for his work on the physiology, pathology and surgery of the thyroid gland"""
Sir Chandrasekhara Venkata,Raman,IN,male,1930,physics,1,"""for his work on the scattering of light and for the discovery of the effect named after him"""
John Warcup,Cornforth,AU,male,1975,chemistry,2,"""for his work on the stereochemistry of enzyme-catalyzed reactions"""
Frederick,Sanger,GB,male,1958,chemistry,1,"""for his work on the structure of proteins, especially that of insulin"""
Owen Willans,Richardson,GB,male,1928,physics,1,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"""
George,de Hevesy,HU,male,1943,chemistry,1,"""for his work on the use of isotopes as tracers in the study of chemical processes"""
Charles Jules Henri,Nicolle,FR,male,1928,medicine,1,"""for his work on typhus"""
George Bernard,Shaw,IE,male,1925,literature,1,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"""
Jean-Paul,Sartre,FR,male,1964,literature,1,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"""
Heinrich,B_ll,DE,male,1972,literature,1,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"""
Samuel,Beckett,IE,male,1969,literature,1,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"""
Octavio,Paz,MX,male,1990,literature,1,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"""
Aziz,Sancar,TR,male,2015,chemistry,3,"""for mechanistic studies of DNA repair"""
Paul,Modrich,US,male,2015,chemistry,3,"""for mechanistic studies of DNA repair"""
Paul,Modrich,US,male,2015,chemistry,3,"""for mechanistic studies of DNA repair"""
Tomas,Lindahl,SE,male,2015,chemistry,3,"""for mechanistic studies of DNA repair"""
Tomas,Lindahl,SE,male,2015,chemistry,3,"""for mechanistic studies of DNA repair"""
Clive W.J.,Granger,GB,male,2003,economics,2,"""for methods of analyzing economic time series with common trends (cointegration)"""
Robert F.,Engle III,US,male,2003,economics,2,"""for methods of analyzing economic time series with time-varying volatility (ARCH)"""
Akira,Suzuki,JP,male,2010,chemistry,3,"""for palladium-catalyzed cross couplings in organic synthesis"""
Ei-ichi,Negishi,CN,male,2010,chemistry,3,"""for palladium-catalyzed cross couplings in organic synthesis"""
Richard F.,Heck,US,male,2010,chemistry,3,"""for palladium-catalyzed cross couplings in organic synthesis"""
Raymond,Davis Jr.,US,male,2002,physics,4,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
Masatoshi,Koshiba,JP,male,2002,physics,4,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
Riccardo,Giacconi,IT,male,2002,physics,2,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"""
Alexei A.,Abrikosov,RU,male,2003,physics,3,"""for pioneering contributions to the theory of superconductors and superfluids"""
Vitaly L.,Ginzburg,RU,male,2003,physics,3,"""for pioneering contributions to the theory of superconductors and superfluids"""
Anthony J.,Leggett,GB,male,2003,physics,3,"""for pioneering contributions to the theory of superconductors and superfluids"""
Roderick,MacKinnon,US,male,2003,chemistry,2,"""for structural and mechanistic studies of ion channels"""
Roderick,MacKinnon,US,male,2003,chemistry,2,"""for structural and mechanistic studies of ion channels"""
Robert J.,Lefkowitz,US,male,2012,chemistry,2,"""for studies of G-protein-coupled receptors"""
Brian K.,Kobilka,US,male,2012,chemistry,2,"""for studies of G-protein-coupled receptors"""
Robert J.,Lefkowitz,US,male,2012,chemistry,2,"""for studies of G-protein-coupled receptors"""
Venkatraman,Ramakrishnan,IN,male,2009,chemistry,3,"""for studies of the structure and function of the ribosome"""
Thomas A.,Steitz,US,male,2009,chemistry,3,"""for studies of the structure and function of the ribosome"""
Thomas A.,Steitz,US,male,2009,chemistry,3,"""for studies of the structure and function of the ribosome"""
Carl E.,Wieman,US,male,2001,physics,3,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
Eric A.,Cornell,US,male,2001,physics,3,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
Wolfgang,Ketterle,DE,male,2001,physics,3,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
Patrick,Modiano,FR,male,2014,literature,1,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation"""""""
Mikhail Aleksandrovich,Sholokhov,RU,male,1965,literature,1,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"""
Roger,Martin du Gard,FR,male,1937,literature,1,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>"""
P_r Fabian,Lagerkvist,SE,male,1951,literature,1,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"""
Walther,Bothe,DE,male,1954,physics,2,"""for the coincidence method and his discoveries made therewith"""
Walther,Bothe,DE,male,1954,physics,2,"""for the coincidence method and his discoveries made therewith"""
Lawrence R.,Klein,US,male,1980,economics,1,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"""
Werner Karl,Heisenberg,DE,male,1932,physics,1,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"""
Fran�ois,Mauriac,FR,male,1952,literature,1,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life"""
Sir J. Fraser,Stoddart,GB,male,2016,chemistry,3,"""for the design and synthesis of molecular machines"""
Bernard L.,Feringa,NL,male,2016,chemistry,3,"""for the design and synthesis of molecular machines"""
Jean-Pierre,Sauvage,FR,male,2016,chemistry,3,"""for the design and synthesis of molecular machines"""
Frederick,Reines,US,male,1995,physics,2,"""for the detection of the neutrino"""
Johann,Deisenhofer,DE,male,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Hartmut,Michel,DE,male,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Robert,Huber,DE,male,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Johann,Deisenhofer,DE,male,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Godfrey N.,Hounsfield,GB,male,1979,medicine,2,"""for the development of computer assisted tomography"""
Allan M.,Cormack,ZA,male,1979,medicine,2,"""for the development of computer assisted tomography"""
Robert G.,Edwards,GB,male,2010,medicine,1,"""for the development of in vitro fertilization"""
Martin,Karplus,AT,male,2013,chemistry,3,"""for the development of multiscale models for complex chemical systems"""
Arieh,Warshel,IL,male,2013,chemistry,3,"""for the development of multiscale models for complex chemical systems"""
Michael,Levitt,ZA,male,2013,chemistry,3,"""for the development of multiscale models for complex chemical systems"""
Martin,Karplus,AT,male,2013,chemistry,3,"""for the development of multiscale models for complex chemical systems"""
Bertram N.,Brockhouse,CA,male,1994,physics,2,"""for the development of neutron spectroscopy"""
Eric,Betzig,US,male,2014,chemistry,3,"""for the development of super-resolved fluorescence microscopy"""
Stefan W.,Hell,RO,male,2014,chemistry,3,"""for the development of super-resolved fluorescence microscopy"""
Stefan W.,Hell,RO,male,2014,chemistry,3,"""for the development of super-resolved fluorescence microscopy"""
William E.,Moerner,US,male,2014,chemistry,3,"""for the development of super-resolved fluorescence microscopy"""
Wassily,Leontief,RU,male,1973,economics,1,"""for the development of the input-output method and for its application to important economic problems"""
Wolfgang,Paul,DE,male,1989,physics,4,"""for the development of the ion trap technique"""
Hans G.,Dehmelt,DE,male,1989,physics,4,"""for the development of the ion trap technique"""
Richard R.,Schrock,US,male,2005,chemistry,3,"""for the development of the metathesis method in organic synthesis"""
Robert H.,Grubbs,US,male,2005,chemistry,3,"""for the development of the metathesis method in organic synthesis"""
Yves,Chauvin,BE,male,2005,chemistry,3,"""for the development of the metathesis method in organic synthesis"""
Clifford G.,Shull,US,male,1994,physics,2,"""for the development of the neutron diffraction technique"""
Alan G.,MacDiarmid,NZ,male,2000,chemistry,3,"""for the discovery and development of conductive polymers"""
Alan J.,Heeger,US,male,2000,chemistry,3,"""for the discovery and development of conductive polymers"""
Hideki,Shirakawa,JP,male,2000,chemistry,3,"""for the discovery and development of conductive polymers"""
Alfred,Kastler,FR,male,1966,physics,1,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms"""
Osamu,Shimomura,JP,male,2008,chemistry,3,"""for the discovery and development of the green fluorescent protein, GFP"""
Martin,Chalfie,US,male,2008,chemistry,3,"""for the discovery and development of the green fluorescent protein, GFP"""
Roger Y.,Tsien,US,male,2008,chemistry,3,"""for the discovery and development of the green fluorescent protein, GFP"""
Osamu,Shimomura,JP,male,2008,chemistry,3,"""for the discovery and development of the green fluorescent protein, GFP"""
Roger Y.,Tsien,US,male,2008,chemistry,3,"""for the discovery and development of the green fluorescent protein, GFP"""
Pavel Alekseyevich,Cherenkov,RU,male,1958,physics,3,"""for the discovery and the interpretation of the Cherenkov effect"""
Il‚ja Mikhailovich,Frank,RU,male,1958,physics,3,"""for the discovery and the interpretation of the Cherenkov effect"""
Il‚ja Mikhailovich,Frank,RU,male,1958,physics,3,"""for the discovery and the interpretation of the Cherenkov effect"""
Igor Yevgenyevich,Tamm,RU,male,1958,physics,3,"""for the discovery and the interpretation of the Cherenkov effect"""
Igor Yevgenyevich,Tamm,RU,male,1958,physics,3,"""for the discovery and the interpretation of the Cherenkov effect"""
Joseph H.,Taylor Jr.,US,male,1993,physics,2,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
Russell A.,Hulse,US,male,1993,physics,2,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
Frank,Wilczek,US,male,2004,physics,3,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
H. David,Politzer,US,male,2004,physics,3,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
David J.,Gross,US,male,2004,physics,3,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
Peter,Grônberg,CZ,male,2007,physics,2,"""for the discovery of Giant Magnetoresistance"""
Albert,Fert,FR,male,2007,physics,2,"""for the discovery of Giant Magnetoresistance"""
Albert,Fert,FR,male,2007,physics,2,"""for the discovery of Giant Magnetoresistance"""
Jack W.,Szostak,GB,male,2009,medicine,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Jack W.,Szostak,GB,male,2009,medicine,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Jack W.,Szostak,GB,male,2009,medicine,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
John James Rickard,Macleod,GB,male,1923,medicine,2,"""for the discovery of insulin"""
Frederick Grant,Banting,CA,male,1923,medicine,2,"""for the discovery of insulin"""
Takaaki,Kajita,JP,male,2015,physics,2,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
Arthur B.,McDonald,CA,male,2015,physics,2,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
Erwin,Schr_dinger,AT,male,1933,physics,2,"""for the discovery of new productive forms of atomic theory"""
Paul Adrien Maurice,Dirac,GB,male,1933,physics,2,"""for the discovery of new productive forms of atomic theory"""
Sir Alexander,Fleming,GB,male,1945,medicine,3,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
Ernst Boris,Chain,DE,male,1945,medicine,3,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
Sir Howard Walter,Florey,AU,male,1945,medicine,3,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
Dan,Shechtman,IL,male,2011,chemistry,1,"""for the discovery of quasicrystals"""
Hamilton O.,Smith,US,male,1978,medicine,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
Daniel,Nathans,US,male,1978,medicine,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
Werner,Arber,CH,male,1978,medicine,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
Adam G.,Riess,US,male,2011,physics,4,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Adam G.,Riess,US,male,2011,physics,4,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Saul,Perlmutter,US,male,2011,physics,2,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Saul,Perlmutter,US,male,2011,physics,2,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Brian P.,Schmidt,US,male,2011,physics,4,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Gerhard,Domagk,PL,male,1939,medicine,1,"""for the discovery of the antibacterial effects of prontosil"""
Aage Niels,Bohr,DK,male,1975,physics,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
Ben Roy,Mottelson,US,male,1975,physics,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
Leo James,Rainwater,US,male,1975,physics,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
Wolfgang,Pauli,AT,male,1945,physics,1,"""for the discovery of the Exclusion Principle, also called the Pauli Principle"""
Yoichiro,Nambu,JP,male,2008,physics,2,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"""
James,Chadwick,GB,male,1935,physics,1,"""for the discovery of the neutron"""
Toshihide,Maskawa,JP,male,2008,physics,4,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
Toshihide,Maskawa,JP,male,2008,physics,4,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
Makoto,Kobayashi,JP,male,2008,physics,4,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
Hermann Joseph,Muller,US,male,1946,medicine,1,"""for the discovery of the production of mutations by means of X-ray irradiation"""
Klaus,von Klitzing,PL,male,1985,physics,1,"""for the discovery of the quantized Hall effect"""
Lars,Onsager,NO,male,1968,chemistry,1,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"""
Corneille Jean Fran�ois,Heymans,BE,male,1938,medicine,1,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration"""
Victor,Grignard,FR,male,1912,chemistry,2,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"""
Martin L.,Perl,US,male,1995,physics,2,"""for the discovery of the tau lepton"""
Avram,Hershko,HU,male,2004,chemistry,3,"""for the discovery of ubiquitin-mediated protein degradation"""
Aaron,Ciechanover,IL,male,2004,chemistry,3,"""for the discovery of ubiquitin-mediated protein degradation"""
Irwin,Rose,US,male,2004,chemistry,3,"""for the discovery of ubiquitin-mediated protein degradation"""
James Watson,Cronin,US,male,1980,physics,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
Val Logsdon,Fitch,US,male,1980,physics,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
Peter,Agre,US,male,2003,chemistry,2,"""for the discovery of water channels"""
Sir John B.,Gurdon,GB,male,2012,medicine,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
Shinya,Yamanaka,JP,male,2012,medicine,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
Shinya,Yamanaka,JP,male,2012,medicine,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
Gônter,Blobel,PL,male,1999,medicine,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"""
Gônter,Blobel,PL,male,1999,medicine,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"""
Ivo,Andric,BA,male,1961,literature,1,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country"""
Aleksandr Isayevich,Solzhenitsyn,RU,male,1970,literature,1,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature"""
Jens C.,Skou,DK,male,1997,chemistry,2,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"""
Jacinto,Benavente,ES,male,1922,literature,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"""
Saul,Bellow,CA,male,1976,literature,1,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work"""
Ernest Orlando,Lawrence,US,male,1939,physics,1,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"""
Percy Williams,Bridgman,US,male,1946,physics,1,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"""
